Id,Genre 1,Genre 2,Genre 3,Genre 4,Popularity, Budget , Revenue 
13,Comedy,Drama,Romance,,48.307194,55000000.0,677945399.0
712,Comedy,Drama,Romance,,8.990345,6000000.0,254700832.0
10879,Action,Comedy,Romance,,3.570874,45000000.0,61947267.0
8587,Family,Animation,Drama,,21.605761,45000000.0,788241776.0
1689,Drama,History,,,5.681522,35000000.0,4858139.0
11596,Horror,Thriller,Mystery,Fantasy,9.860522,14000000.0,18090181.0
854,Romance,Comedy,Crime,Fantasy,14.13488,23000000.0,351583407.0
36593,Comedy,Crime,,,10.587232,30000000.0,51132598.0
2788,Drama,,,,6.514592,11500000.0,20079850.0
10427,Crime,Drama,Thriller,,5.137903,8000000.0,2000000.0
1637,Action,Adventure,Crime,,10.859292,30000000.0,350448145.0
8831,Thriller,Science,name:,,8.907074,27000000.0,101646581.0
36955,Action,Thriller,,,11.396099,115000000.0,378882411.0
12160,Drama,Action,Western,,9.277147,63000000.0,25052000.0
26352,Action,Comedy,Crime,,3.021526,10000000.0,29392418.0
22067,Crime,Drama,Romance,,0.912909,7000000.0,20851521.0
11667,Action,Adventure,Thriller,,13.58449,35000000.0,99423521.0
8011,Action,Fantasy,Science,,6.866634,26000000.0,36800000.0
2654,Horror,Mystery,Thriller,,8.497643,8000000.0,8946600.0
10436,Drama,Romance,,,8.013617,34000000.0,32255440.0
46094,Comedy,Family,,,1.896273,17080000.0,21011500.0
306,Action,Comedy,Crime,,11.787784,50000000.0,119208989.0
4722,Horror,Science,name:,,6.559693,13000000.0,428868.0
1607,Drama,Crime,,,6.115628,22000000.0,17287898.0
117553,Drama,Comedy,,,1.316741,13000000.0,2570145.0
6075,Action,Crime,Drama,Thriller,8.698509,30000000.0,36516012.0
9350,Action,Adventure,Thriller,,9.830853,70000000.0,255000211.0
2124,Drama,Mystery,Romance,Thriller,14.228963,40000000.0,19726050.0
9571,Comedy,Drama,,,6.8652,6900000.0,7993039.0
9739,Crime,Action,Science,,11.626116,57000000.0,159055768.0
9024,Comedy,Romance,,,8.468869,30000000.0,11146270.0
37233,Drama,Mystery,Thriller,,9.678367,42000000.0,270248367.0
1634,Family,Adventure,,,5.990572,20000000.0,153698625.0
5503,Adventure,Action,Thriller,Crime,10.08937,44000000.0,368875760.0
35588,History,Action,Drama,Western,4.653462,35000000.0,18635620.0
2019,Action,Adventure,Crime,Thriller,7.834351,18000000.0,74189677.0
9255,Action,Comedy,War,,13.482371,25000000.0,133752825.0
9386,Action,Drama,Thriller,Crime,12.637158,40000000.0,176997168.0
7984,Drama,,,,7.405895,13000000.0,65796862.0
329,Adventure,Science,,,8.863776,63000000.0,920100000.0
10909,Thriller,Crime,,,8.4337,9000000.0,2395231.0
507,Action,Crime,Drama,Thriller,4.948569,1500000.0,418961.0
9593,Adventure,Fantasy,Action,Comedy,9.434006,85000000.0,137298489.0
10440,Comedy,Mystery,,,8.939404,13500000.0,11285588.0
9516,Drama,Action,Crime,,5.260924,3500000.0,27900000.0
2320,Action,Adventure,Drama,Thriller,13.106291,55000000.0,121969216.0
788,Comedy,Drama,Family,,11.16553,25000000.0,441286195.0
11231,Adventure,,,,9.9697,12000000.0,15826984.0
10447,Action,Drama,Science,,9.715187,20000000.0,15340000.0
9559,Crime,Drama,Thriller,,8.040589,30000000.0,135130999.0
9800,Drama,,,,13.373006,26000000.0,206678440.0
713,Drama,Romance,,,7.436758,7000000.0,116700000.0
8291,Drama,Romance,,,6.972599,14000000.0,27515786.0
10872,Comedy,,,,5.868677,11000000.0,11439193.0
1245,Drama,Romance,,,12.222576,11500000.0,23237911.0
11858,Comedy,War,,,4.985157,40000000.0,24332324.0
5550,Action,Adventure,Crime,Science,8.685798,22000000.0,10696210.0
8005,Comedy,,,,17.136672,20000000.0,35739755.0
2088,Action,Crime,Drama,Thriller,9.796318,11500000.0,3275585.0
47889,Drama,Romance,,,0.941994,800000.0,1001437.0
14534,Drama,,,,5.914833,12000000.0,22750363.0
424,Drama,History,War,,41.725123,22000000.0,321365567.0
11592,Comedy,Crime,Horror,Thriller,5.305311,13000000.0,7820688.0
8850,Adventure,Fantasy,Action,Thriller,7.881107,25000000.0,48063435.0
858,Comedy,Drama,Romance,,10.234919,21000000.0,227799884.0
867,Drama,Thriller,,,11.23297,40000000.0,116300000.0
78,Science,name:,name:,,96.272374,28000000.0,33139618.0
10442,Comedy,Crime,Romance,,8.051914,20000000.0,11585483.0
9607,Adventure,Comedy,Family,Fantasy,7.198455,48000000.0,20915465.0
17585,Action,Adventure,Thriller,Crime,3.644641,7400000.0,7690013.0
9057,Action,Thriller,,,8.012225,50000000.0,16478900.0
9479,Fantasy,Animation,Family,,17.730913,18000000.0,75634409.0
10057,Action,Adventure,Comedy,,6.34785,30000000.0,53898845.0
11969,Action,Adventure,Drama,History,11.338194,25000000.0,56505065.0
319,Action,Thriller,Crime,Romance,17.189328,12500000.0,12281551.0
15139,Fantasy,Science,name:,,7.436001,27000000.0,13670688.0
771,Comedy,Family,,,0.702543,18000000.0,476684675.0
251,Fantasy,Drama,Thriller,Mystery,11.945397,22000000.0,505000000.0
812,Animation,Family,Comedy,Adventure,16.357419,28000000.0,504050219.0
280,Action,Thriller,Science,,22.661695,100000000.0,520000000.0
581,Adventure,Drama,Western,,11.654349,22000000.0,424208848.0
268,Fantasy,Action,,,19.10673,35000000.0,411348924.0
274,Crime,Drama,Thriller,,4.307222,19000000.0,272742922.0
408,Fantasy,Animation,Family,,16.263878,1488423.0,184925486.0
10020,Romance,Family,Animation,Fantasy,23.433511,25000000.0,377350553.0
10895,Animation,Family,,,14.202284,2600000.0,84300000.0
114,Romance,Comedy,,,13.348451,14000000.0,463000000.0
576,Adventure,Western,,,11.722424,6244087.0,638641.0
275,Crime,Drama,Thriller,,12.61469,7000000.0,60611975.0
8766,Horror,Thriller,Science,,5.263187,4000000.0,16675000.0
10112,Animation,Comedy,Family,Adventure,9.834047,4000000.0,55675257.0
1592,Crime,Drama,Mystery,Thriller,10.326213,30000000.0,102616183.0
61752,Comedy,,,,4.405169,12000000.0,4939939.0
10684,Drama,Thriller,Mystery,War,11.595316,46000000.0,100860818.0
954,Adventure,Action,Thriller,,15.793477,80000000.0,457696359.0
8840,Fantasy,,,,23.63659,57000000.0,115267375.0
10539,Adventure,Animation,Family,,13.217623,38000000.0,28921264.0
47502,Comedy,Crime,Drama,,1.296862,13000000.0,9789900.0
2300,Animation,Comedy,Drama,Family,11.054251,80000000.0,250200000.0
8069,Science,,,,14.304205,9000000.0,2500000.0
40001,Comedy,Romance,Drama,,9.1861,25000000.0,10070000.0
9103,Action,Adventure,,,7.941972,30000000.0,57400547.0
12233,Animation,Comedy,Family,,10.813579,31000000.0,74151346.0
36355,Adventure,Family,,,4.557006,25530000.0,20080020.0
11876,War,Adventure,Drama,Romance,1.690768,35000000.0,15000000.0
9100,Drama,Fantasy,Horror,Thriller,12.860385,15000000.0,24769466.0
40507,Action,Drama,Crime,Thriller,0.343579,4800000.0,3014000.0
9802,Action,Adventure,Thriller,,13.249824,75000000.0,335062621.0
664,Action,Adventure,Drama,,8.739144,92000000.0,494471524.0
10547,Action,Mystery,Science,,6.497591,25000000.0,14048372.0
935,Drama,Comedy,War,,9.80398,1800000.0,9440272.0
9826,Adventure,Action,,,8.079541,45000000.0,17300889.0
9879,Drama,Thriller,Crime,,11.341502,50000000.0,113309743.0
7095,Comedy,Drama,Science,,6.287245,45000000.0,58620973.0
627,Drama,Crime,,,19.348466,4000000.0,16491080.0
602,Action,Adventure,Science,,17.634197,75000000.0,816969268.0
9566,Drama,Mystery,Thriller,,12.202063,55000000.0,18626419.0
10545,Drama,Animation,Family,,13.553999,100000000.0,100138851.0
9894,Comedy,Drama,Thriller,,7.586577,47000000.0,102825796.0
11543,Comedy,,,,11.633347,27000000.0,25023434.0
9268,Action,Drama,Mystery,Thriller,6.919314,100000000.0,242295562.0
9327,Fantasy,Comedy,Romance,Science,9.651581,54000000.0,128769345.0
11228,Action,Adventure,Thriller,,11.995799,80000000.0,159212469.0
10779,Horror,Comedy,,,12.09096,30000000.0,29359216.0
26748,Drama,Mystery,Romance,,9.069963,5000000.0,13269963.0
9294,Drama,Fantasy,Romance,Science,5.575992,32000000.0,152036382.0
11363,Comedy,Romance,,,10.827266,3500000.0,9482579.0
1645,Crime,Drama,Thriller,,13.309013,40000000.0,152266007.0
18550,Action,Comedy,Thriller,,3.906949,25000000.0,17193231.0
11962,Fantasy,Comedy,Music,,9.490858,13000000.0,4619014.0
2925,Comedy,,,,10.177303,26000000.0,116400000.0
3595,Action,Thriller,,,8.772188,80000000.0,309492681.0
12123,Action,Drama,Science,,15.874491,50000000.0,60209334.0
10830,Comedy,Family,Fantasy,,10.034915,36000000.0,33459416.0
3573,Drama,Comedy,Romance,,6.593011,6000000.0,22231658.0
10546,Action,Fantasy,Thriller,,6.554679,13000000.0,17917287.0
9431,Horror,Comedy,,,3.450402,15000000.0,5600000.0
47907,Comedy,Drama,,,1.19589,6000000.0,12643776.0
10061,Action,Adventure,Science,,12.229381,50000000.0,42277365.0
549,Drama,History,,,4.797674,2962051.0,3011195.0
10478,Comedy,Drama,Romance,,6.24966,45000000.0,53854588.0
66634,Drama,Music,,,0.124273,200000.0,300000.0
238,Drama,Crime,,,41.109264,6000000.0,245066411.0
11134,Action,Crime,Thriller,,6.751864,900000.0,20483423.0
88224,Drama,Comedy,,,1.143656,500000.0,431326.0
9303,Crime,Drama,Romance,Thriller,12.449574,4500000.0,7011317.0
11015,Horror,Mystery,Thriller,,7.699967,60000000.0,33956608.0
9306,Fantasy,Horror,Science,,12.725343,40000000.0,49627779.0
10723,Action,Adventure,Comedy,Thriller,7.859132,25000000.0,22611954.0
10987,Horror,Thriller,,,8.768288,5000000.0,15116634.0
872,Comedy,Music,Romance,,11.064858,2540800.0,7200000.0
2769,Drama,Comedy,Music,Romance,5.565203,2723903.0,4500000.0
164,Comedy,Drama,Romance,,10.879289,2500000.0,9500000.0
426,Mystery,Romance,Thriller,,18.20822,2479000.0,28000000.0
567,Drama,Mystery,Thriller,,17.911314,1000000.0,36764313.0
3078,Comedy,Romance,,,6.465257,325000.0,4500000.0
213,Mystery,Thriller,,,12.410427,4000000.0,13275000.0
284,Comedy,Drama,Romance,,11.994281,3000000.0,25000000.0
239,Comedy,Romance,,,11.845107,2883848.0,25000000.0
4808,Comedy,Mystery,Romance,Thriller,7.098731,4000000.0,13474588.0
289,Drama,Romance,,,13.916101,878000.0,10462500.0
963,Mystery,Crime,Thriller,,5.782544,375000.0,1000000.0
11113,Drama,Family,Music,Romance,12.494394,17000000.0,72070731.0
6620,Comedy,Drama,Romance,,7.359741,2238813.0,10000000.0
804,Comedy,Romance,,,11.954806,1500000.0,12000000.0
630,Adventure,Family,Fantasy,,22.064932,2777000.0,33754967.0
770,Drama,Romance,War,,14.240357,4000000.0,400176459.0
599,Drama,,,,11.709777,1752000.0,5000000.0
15,Mystery,Drama,,,15.811921,839727.0,23217674.0
62,Science,name:,name:,,22.494622,10500000.0,68700000.0
705,Drama,,,,12.06308,1400000.0,63463.0
22490,Comedy,Drama,,,5.076649,1688000.0,2270000.0
223,Drama,Mystery,,,8.590813,1288000.0,6000000.0
303,Thriller,Drama,Romance,,10.135111,2000000.0,24464742.0
4174,Drama,Mystery,Thriller,,5.47596,1500000.0,7000000.0
381,Crime,Drama,Mystery,Romance,5.490505,2500000.0,8750000.0
1859,Comedy,Romance,,,5.120036,1365000.0,2279000.0
10907,Action,Adventure,Romance,,10.685036,2033000.0,3981000.0
1939,Drama,Mystery,,,9.884516,1020000.0,2000000.0
3080,Comedy,Music,Romance,,7.122093,609000.0,3202000.0
1712,Action,Drama,Western,,10.864284,5400000.0,35000000.0
220,Drama,,,,6.42883,1.0,5.0
3529,Comedy,Crime,Mystery,,10.573867,226408.0,1423000.0
2897,Adventure,Comedy,Family,Fantasy,6.164226,6000000.0,42000000.0
1585,Drama,Family,Fantasy,,15.031588,3180000.0,9644124.0
3083,Comedy,Drama,,,8.168694,1500000.0,9600000.0
10331,Horror,,,,14.384198,114000.0,30000000.0
488,Adventure,War,Romance,,6.636872,1300000.0,10750000.0
261,Drama,Romance,,,11.794846,3000000.0,17570324.0
22649,Drama,Romance,War,,1.914697,4.0,25.0
10861,Action,Adventure,Thriller,,7.370163,25000000.0,51702483.0
1770,Drama,Thriller,,,6.728199,28000000.0,16900000.0
9333,Action,Crime,Drama,Thriller,11.845918,67000000.0,47267001.0
9400,Drama,Action,Crime,,6.85606,9000000.0,41590886.0
12241,Comedy,Crime,Thriller,,2.781581,2300000.0,49620.0
11306,Drama,Thriller,,,4.990506,38000000.0,17380126.0
6346,Crime,Drama,,,3.998494,50000000.0,22540359.0
173,Adventure,Drama,Science,,8.722406,5000000.0,28200000.0
864,Comedy,,,,8.30721,14000000.0,154864401.0
11224,Family,Fantasy,Animation,Romance,14.436858,2900000.0,263591415.0
9078,Animation,Family,,,10.636458,3000000.0,22182353.0
8367,Adventure,,,,10.639244,48000000.0,390493908.0
