Id,Vote Average, Budget 
15,8.0,839727.0
62,7.9,10500000.0
705,8.0,1400000.0
22490,6.4,1688000.0
223,7.7,1288000.0
303,7.8,2000000.0
4174,7.3,1500000.0
381,7.1,2500000.0
1859,7.3,1365000.0
10907,7.6,2033000.0
1939,7.6,1020000.0
3080,7.4,609000.0
1712,7.5,5400000.0
220,7.5,1.0
3529,7.4,226408.0
2897,6.5,6000000.0
1585,8.0,3180000.0
3083,7.9,1500000.0
10331,7.5,114000.0
488,7.4,1300000.0
261,7.6,3000000.0
22649,6.2,4.0
10861,5.3,25000000.0
1770,6.8,28000000.0
9333,6.2,67000000.0
9400,6.9,9000000.0
12241,6.2,2300000.0
11306,5.7,38000000.0
6346,5.9,50000000.0
173,6.9,5000000.0
864,6.8,14000000.0
11224,6.8,2900000.0
9078,6.9,3000000.0
8367,6.6,48000000.0
433,7.4,6000000.0
11360,6.8,812000.0
12335,6.8,20000000.0
12092,7.0,3000000.0
10948,7.0,12000000.0
15121,7.4,8200000.0
562,7.5,28000000.0
10163,5.4,10000000.0
11159,7.1,4500000.0
41843,5.3,16000000.0
11412,6.4,65000000.0
10586,6.4,50000000.0
49471,7.0,2400000.0
38153,4.0,45000000.0
25147,6.6,7000000.0
454,6.7,14500000.0
10218,6.8,200000.0
819,7.3,44000000.0
252,7.4,3000000.0
11561,7.0,2000000.0
11302,6.7,2000000.0
623,7.1,7500000.0
583,7.7,4000000.0
11575,7.2,12000000.0
475,7.6,2500000.0
521,7.9,1400000.0
88,7.1,6000000.0
500,8.1,1200000.0
792,7.5,6000000.0
8491,6.4,6500000.0
402,6.5,49000000.0
10537,6.7,38000000.0
11386,6.9,3705538.0
9504,7.5,12500000.0
15764,7.4,12000000.0
601,7.3,10500000.0
2119,5.9,60000000.0
744,6.7,15000000.0
702,7.6,1800000.0
21612,7.3,12500000.0
1630,6.8,36000000.0
11843,6.7,5000000.0
10379,5.9,6788000.0
2756,7.1,70000000.0
790,6.4,1000000.0
1103,6.9,6000000.0
11298,6.4,1000000.0
762,7.8,400000.0
49763,5.7,7000000.0
892,7.4,4000000.0
409,7.0,27000000.0
10161,7.5,645180.0
10409,6.2,3000000.0
10174,6.3,4.0
31225,8.2,500000.0
510,8.3,3000000.0
1891,8.2,18000000.0
2493,7.6,16000000.0
85,7.7,18000000.0
679,7.7,18500000.0
429,8.1,1200000.0
389,8.2,350000.0
947,7.8,15000000.0
185,8.0,2200000.0
595,7.9,2000000.0
28,8.0,31500000.0
335,8.1,5000000.0
1892,7.9,32350000.0
144,7.5,2500000.0
769,8.2,25000000.0
348,7.9,11000000.0
11645,7.9,11500000.0
539,8.3,806948.0
525,7.5,27000000.0
240,8.3,13000000.0
600,7.9,17000000.0
